,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
117,Hawaii,27,16,11,.593,-0.66,-1.89,7,6,14,5,2,6,1865,1816,,69.2,96.8,.328,.268,.520,49.3,37.5,9.0,8.5,.483,16.9,25.4,.236
118,High Point,30,9,21,.300,-16.29,-5.18,6,11,6,9,3,12,1975,2243,,67.6,109.7,.362,.459,.576,48.9,60.3,10.2,10.3,.553,15.9,28.0,.246
119,Hofstra,30,22,8,.733,2.20,-3.69,13,4,9,4,11,4,2293,2080,,69.7,99.5,.215,.357,.525,49.7,54.4,8.5,6.7,.501,17.4,29.5,.156
120,Holy Cross,30,3,27,.100,-17.25,-4.08,2,15,2,11,0,15,1997,2382,,68.7,114.1,.317,.338,.579,52.6,47.3,10.0,8.7,.556,13.5,28.8,.222
121,Houston Baptist,26,3,23,.115,-17.55,-2.70,3,14,2,8,1,14,2077,2463,,78.3,120.4,.372,.327,.611,50.8,56.4,11.1,10.7,.583,14.2,32.4,.272
122,Houston,28,21,7,.750,16.36,5.61,11,4,12,2,6,5,2038,1737,,66.8,92.5,.401,.393,.483,43.4,54.8,7.7,5.6,.437,15.8,25.4,.275
123,Howard,28,2,26,.071,-21.48,-6.52,0,13,1,12,1,13,1950,2284,,71.9,112.0,.356,.378,.568,55.3,62.4,8.5,7.4,.544,16.7,36.6,.240
124,Idaho State,26,6,20,.231,-8.37,-0.92,3,14,4,9,2,11,1798,1886,,67.7,105.7,.265,.270,.554,48.9,41.2,9.0,8.7,.525,15.2,26.7,.197
125,Idaho,28,7,21,.250,-11.67,-1.79,3,14,4,9,2,11,1818,2019,,69.7,103.0,.274,.393,.534,50.3,54.1,10.4,7.5,.509,14.6,25.8,.188
126,Illinois-Chicago,30,15,15,.500,-5.18,-3.66,10,7,9,6,5,9,2051,2092,,70.2,98.9,.359,.384,.503,49.7,56.3,9.8,7.9,.467,15.0,29.2,.244
127,Illinois State,29,9,20,.310,-2.75,2.28,4,13,9,6,0,11,1914,2036,,68.2,102.4,.306,.386,.543,51.4,51.8,9.6,7.9,.511,17.3,28.1,.221
128,Illinois,28,19,9,.679,15.28,9.06,11,6,13,3,6,5,2031,1811,,67.9,94.8,.224,.333,.494,43.8,45.2,8.7,7.9,.468,15.1,24.6,.156
129,Incarnate Word,28,9,19,.321,-18.73,-6.53,6,11,7,7,2,12,1836,2055,,69.2,104.6,.330,.355,.551,52.4,58.5,9.5,10.4,.513,18.0,32.7,.249
130,Indiana State,28,17,11,.607,3.67,1.63,10,7,11,1,4,8,1930,1868,,66.2,100.3,.336,.373,.537,50.3,52.4,7.6,7.9,.506,17.0,24.9,.233
131,Indiana,28,18,10,.643,14.65,10.15,8,9,14,3,2,7,2003,1877,,68.8,97.0,.331,.393,.515,45.9,52.3,9.1,8.5,.483,16.2,24.9,.226
132,Iona,24,11,13,.458,-5.97,-5.14,9,8,5,5,4,7,1682,1702,,68.6,102.2,.360,.398,.528,51.3,60.2,9.5,8.8,.502,16.6,31.1,.232
133,Iowa State,28,12,16,.429,10.00,9.86,5,10,11,5,0,9,2038,2034,,70.6,102.4,.269,.376,.538,51.4,48.7,10.2,7.9,.515,18.0,31.9,.182
134,Iowa,28,19,9,.679,16.38,10.27,10,7,13,1,4,6,2189,2018,,70.8,101.8,.270,.398,.527,48.2,57.8,8.7,9.8,.497,15.6,28.6,.196
135,Purdue-Fort Wayne,30,13,17,.433,-8.03,-3.59,6,9,10,5,3,12,2062,2101,,69.5,100.8,.279,.413,.545,48.6,53.9,9.2,9.3,.518,17.0,24.0,.199
136,IUPUI,30,7,23,.233,-14.39,-3.35,3,14,4,8,3,13,2109,2381,,71.7,109.8,.286,.388,.556,52.2,56.1,9.7,10.4,.528,15.2,32.6,.206
137,Jackson State,27,10,17,.370,-11.78,-6.26,7,7,6,3,4,14,1796,1869,,71.1,97.3,.444,.323,.544,53.3,52.9,8.2,7.9,.498,20.2,28.5,.321
138,Jacksonville State,30,12,18,.400,-8.18,-6.18,7,10,7,6,4,11,2158,2080,,70.3,98.2,.285,.382,.539,47.3,52.6,9.1,7.8,.513,18.3,24.7,.197
139,Jacksonville,30,13,17,.433,-6.35,-5.49,6,9,6,7,6,8,1998,1990,,67.7,96.8,.280,.387,.494,47.8,43.9,9.7,8.6,.461,13.9,25.5,.199
140,James Madison,28,9,19,.321,-8.91,-2.65,2,15,6,9,3,10,2015,2136,,72.7,105.0,.289,.410,.543,50.6,52.0,7.9,10.0,.512,14.6,26.2,.210
141,Kansas State,28,9,19,.321,7.67,8.92,2,13,8,6,1,9,1801,1836,,67.4,96.8,.378,.403,.536,50.9,53.4,11.1,12.2,.500,21.0,29.7,.264
142,Kansas,28,25,3,.893,25.92,11.74,14,1,13,1,9,1,2109,1696,,68.4,88.1,.231,.406,.463,45.6,52.6,9.5,9.5,.436,16.9,26.3,.155
143,Kennesaw State,28,1,27,.036,-22.32,-2.39,0,15,1,9,0,16,1547,2105,,68.1,110.3,.303,.380,.572,54.1,52.1,9.4,10.2,.555,16.2,31.0,.198
144,Kent State,28,18,10,.643,3.48,-1.06,8,7,12,3,5,5,2128,1941,,69.8,97.6,.314,.364,.513,49.8,51.5,7.2,5.9,.478,17.8,30.6,.222
145,Kentucky,28,23,5,.821,15.91,6.70,13,2,15,1,7,2,2090,1832,,68.8,94.3,.316,.381,.481,46.8,46.1,7.4,7.8,.445,15.0,28.3,.216
146,La Salle,27,13,14,.481,-0.21,1.87,4,11,7,6,3,8,1825,1881,,69.9,98.3,.414,.365,.523,50.9,54.2,12.0,11.9,.478,17.9,29.1,.295
147,Lafayette,28,17,11,.607,-5.37,-6.08,9,8,8,5,9,6,1975,1916,,68.0,100.6,.229,.354,.505,49.9,43.7,8.8,6.4,.481,12.6,26.0,.158
148,Lamar,29,16,13,.552,-7.49,-6.69,10,8,10,4,6,9,2090,2003,,71.8,95.4,.267,.384,.523,50.8,54.9,10.0,8.8,.496,21.0,32.1,.185
149,Lehigh,29,9,20,.310,-11.14,-3.59,6,11,7,6,2,14,1962,2110,,69.3,104.1,.331,.422,.541,49.2,55.7,9.8,8.6,.507,15.0,25.9,.239
150,Liberty,30,27,3,.900,6.48,-6.99,13,2,14,0,7,3,2067,1585,,61.4,86.1,.267,.400,.469,46.3,43.4,7.6,5.6,.436,18.0,21.7,.185
151,Lipscomb,28,13,15,.464,-7.95,-5.02,8,7,7,5,6,10,1980,1983,,69.5,101.5,.268,.399,.531,50.2,48.1,8.6,10.2,.506,16.4,28.4,.183
152,Cal State Long Beach,29,10,19,.345,-8.86,2.03,5,8,7,6,2,11,1932,2179,,71.8,104.2,.294,.410,.542,52.5,57.7,11.2,6.6,.514,17.3,31.5,.209
153,Long Island University,30,14,16,.467,-7.58,-6.10,9,8,7,6,6,9,2298,2300,,73.9,102.0,.274,.356,.526,53.1,50.6,8.3,10.8,.498,15.8,30.0,.193
154,Longwood,31,14,17,.452,-11.53,-9.15,9,9,8,6,6,11,2095,2117,,68.7,97.9,.343,.429,.532,51.1,58.3,8.9,11.7,.502,18.1,25.1,.232
155,Louisiana,29,12,17,.414,-5.00,-0.82,7,11,8,6,3,10,2085,2174,,72.2,103.4,.321,.377,.544,50.4,50.4,9.4,8.1,.507,16.9,29.6,.238
156,Louisiana-Monroe,28,9,19,.321,-6.78,-0.36,5,14,7,7,2,12,1774,1895,,66.2,101.7,.332,.381,.514,51.1,52.9,9.0,7.4,.478,14.8,30.3,.236
157,Louisiana State,28,19,9,.679,13.86,7.11,10,5,13,2,5,5,2247,2058,,70.8,102.8,.246,.415,.521,45.5,48.4,8.3,8.6,.496,14.7,28.9,.172
158,Louisiana Tech,28,20,8,.714,6.71,-1.48,11,5,13,1,7,7,2093,1794,,68.4,92.8,.317,.400,.498,47.9,49.7,7.0,8.6,.461,18.6,27.1,.225
159,Louisville,29,23,6,.793,17.97,7.32,14,4,16,1,6,4,2174,1865,,67.4,94.6,.291,.408,.489,45.6,46.8,8.8,9.0,.450,15.1,25.7,.212
160,Loyola (IL),30,20,10,.667,5.89,0.37,12,5,14,2,4,6,2058,1867,,65.8,93.8,.239,.435,.538,50.4,53.4,9.4,9.6,.520,21.6,23.5,.159
161,Loyola Marymount,29,10,19,.345,-0.89,4.00,4,11,7,8,2,9,1862,1956,,64.8,103.7,.381,.456,.555,49.4,60.0,9.9,10.6,.516,17.2,27.3,.279
162,Loyola (MD),30,15,15,.500,-9.12,-6.81,7,10,9,3,5,12,2202,2242,,71.1,104.2,.324,.403,.537,51.1,54.7,9.2,8.9,.502,15.7,29.4,.233
163,Maine,28,7,21,.250,-13.55,-3.70,3,11,4,7,2,14,1709,1935,,66.3,103.3,.343,.447,.544,50.0,53.9,11.3,7.6,.503,16.3,27.4,.260
164,Manhattan,26,12,14,.462,-7.38,-6.49,8,9,7,5,5,9,1645,1668,,67.0,94.8,.451,.339,.515,50.8,57.7,9.3,9.4,.468,19.6,29.1,.313
165,Marist,26,7,19,.269,-11.47,-7.05,6,11,4,8,3,11,1591,1706,,65.9,97.2,.401,.429,.528,50.9,57.4,9.7,6.9,.484,18.4,26.1,.288
166,Marquette,27,18,9,.667,16.21,8.95,8,7,13,2,3,6,2100,1904,,71.4,97.0,.334,.344,.494,47.2,51.0,9.1,9.6,.464,13.6,25.8,.218
167,Marshall,29,14,15,.483,1.26,0.23,8,8,9,6,4,9,2167,2102,,75.1,96.1,.376,.327,.499,51.7,40.3,11.1,7.3,.459,18.0,32.6,.260
168,Maryland-Baltimore County,29,14,15,.483,-7.95,-4.47,7,7,9,5,5,8,1985,1918,,68.5,96.1,.315,.443,.512,49.7,50.6,9.8,8.8,.472,17.3,26.2,.234
169,Maryland-Eastern Shore,28,5,23,.179,-20.99,-4.22,4,9,4,4,1,19,1594,2001,,69.1,102.5,.371,.376,.546,54.7,55.0,10.5,9.8,.515,18.7,31.3,.255
170,Maryland,28,23,5,.821,18.25,9.79,13,4,15,0,5,5,2010,1773,,67.9,93.2,.236,.382,.480,46.7,54.4,8.3,11.0,.452,15.3,26.2,.164
171,Massachusetts-Lowell,29,12,17,.414,-8.00,-5.64,6,8,8,8,4,9,2173,2196,,71.4,104.8,.264,.358,.545,50.8,49.1,9.6,8.8,.520,16.6,30.4,.186
172,Massachusetts,28,13,15,.464,0.96,3.43,7,8,11,4,2,8,1915,1984,,69.4,101.2,.332,.314,.538,52.3,55.2,10.1,6.6,.508,18.0,30.3,.228
173,McNeese State,28,13,15,.464,-8.48,-6.81,8,9,10,5,3,10,2255,2084,,72.0,102.4,.278,.408,.536,47.3,54.4,10.3,8.2,.505,17.0,29.5,.204
174,Memphis,28,19,9,.679,11.94,4.37,8,7,14,3,4,5,2033,1821,,73.5,88.1,.352,.369,.463,47.8,53.9,10.4,8.0,.419,18.0,29.2,.243
175,Mercer,30,16,14,.533,-3.20,-2.81,10,7,8,6,8,6,2179,2131,,70.9,100.2,.346,.398,.523,46.9,50.8,10.0,6.8,.495,15.7,26.7,.229
176,Merrimack,31,20,11,.645,-7.04,-6.64,14,4,10,2,9,8,1948,1866,,64.4,92.4,.370,.312,.511,56.2,58.0,7.8,11.4,.469,22.8,34.0,.263
177,Miami (FL),27,14,13,.519,6.26,8.26,6,11,8,4,4,7,1973,2027,,69.6,105.5,.220,.348,.532,52.8,55.4,8.5,11.7,.510,14.9,31.8,.156
178,Miami (OH),28,11,17,.393,-5.58,-0.81,4,11,9,5,1,10,1977,1999,,69.5,102.7,.349,.384,.538,51.3,45.5,7.8,9.5,.509,16.2,27.9,.235
179,Michigan State,28,19,9,.679,21.35,10.10,11,6,11,3,5,4,2116,1801,,69.8,92.2,.288,.378,.467,44.9,56.5,8.9,9.4,.430,14.2,25.9,.201
180,Michigan,28,18,10,.643,18.54,10.93,9,8,10,5,4,5,2111,1898,,69.2,96.7,.258,.279,.491,49.1,38.9,6.4,7.2,.463,13.8,25.9,.175
181,Middle Tennessee,28,7,21,.250,-8.37,1.51,3,12,4,9,3,9,2006,2133,,71.5,106.1,.390,.343,.568,50.9,51.8,8.9,8.3,.535,17.2,27.5,.276
182,Milwaukee,29,12,17,.414,-7.01,-3.82,7,10,7,7,4,8,2090,2116,,71.1,100.4,.428,.354,.543,50.9,51.1,8.1,8.8,.499,18.5,28.9,.308
183,Minnesota,27,13,14,.481,15.84,11.84,7,10,10,5,2,8,1888,1780,,67.1,97.4,.282,.310,.489,48.3,53.7,7.8,10.1,.455,14.1,28.4,.200
184,Mississippi State,28,18,10,.643,11.97,6.76,9,6,13,2,3,6,2068,1922,,67.7,101.4,.319,.367,.524,44.6,50.3,10.7,7.1,.487,15.2,28.1,.233
185,Mississippi Valley State,27,2,25,.074,-29.34,-6.82,2,13,1,8,1,17,1843,2451,,78.8,114.7,.356,.356,.571,57.6,60.4,8.7,7.5,.545,14.8,35.8,.244
186,Mississippi,28,13,15,.464,7.48,6.63,4,11,10,5,1,9,1940,1916,,69.0,98.3,.411,.358,.526,50.6,54.1,8.8,10.6,.478,17.6,27.7,.302
187,Missouri-Kansas City,28,14,14,.500,-6.16,-2.24,6,7,8,4,4,8,1953,1867,,67.0,97.3,.455,.336,.533,52.2,49.2,8.7,11.8,.476,19.3,28.6,.345
188,Missouri State,30,14,16,.467,2.24,0.67,8,9,10,4,3,10,2086,2039,,68.2,99.2,.323,.383,.532,46.0,46.7,8.7,8.0,.500,16.1,22.9,.229
189,Missouri,28,14,14,.500,8.05,6.12,6,9,11,3,2,9,1882,1828,,67.3,96.2,.471,.379,.517,49.0,49.4,8.7,10.6,.461,18.5,28.2,.343
190,Monmouth,27,16,11,.593,-5.08,-5.20,10,6,9,1,6,9,1921,1918,,72.1,98.0,.407,.401,.539,52.8,51.3,8.3,8.8,.498,19.7,28.7,.290
191,Montana State,28,14,14,.500,-5.50,-2.46,8,9,8,4,4,10,1869,1879,,68.5,98.0,.293,.399,.509,48.8,50.4,9.9,10.3,.477,14.7,24.8,.204
192,Montana,28,17,11,.607,0.77,-1.73,13,4,12,1,5,10,1972,1895,,69.4,96.6,.428,.319,.528,51.7,45.6,8.8,6.6,.482,18.4,24.8,.307
193,Morehead State,30,13,17,.433,-10.76,-6.30,7,10,11,4,2,13,2065,2086,,69.1,99.9,.271,.376,.515,49.8,48.1,8.2,12.4,.488,15.6,28.4,.186
194,Morgan State,29,15,14,.517,-12.26,-8.83,9,5,8,4,7,7,2055,2057,,70.9,98.8,.494,.391,.518,47.4,51.3,9.3,8.5,.468,16.9,29.3,.343
195,Mount St. Mary's,30,11,19,.367,-9.40,-6.37,7,10,8,5,3,14,1917,1988,,64.6,101.4,.285,.370,.527,49.2,52.4,8.6,10.1,.496,15.5,26.8,.203
196,Murray State,29,21,8,.724,1.16,-6.88,14,3,14,0,6,6,2190,1872,,69.8,91.6,.317,.369,.492,45.1,46.5,8.7,9.8,.456,16.6,23.0,.221
197,Navy,28,14,14,.500,-7.19,-5.75,8,9,10,5,4,9,1785,1793,,62.5,100.6,.300,.412,.531,46.6,57.0,9.1,12.6,.505,16.2,25.4,.204
198,Omaha,30,16,14,.533,-4.06,-1.26,9,6,12,2,4,11,2233,2295,,70.6,106.5,.294,.392,.549,50.1,53.4,7.7,7.7,.517,14.5,27.7,.216
199,Nebraska,28,7,21,.250,3.75,10.11,2,15,5,10,0,10,1962,2140,,72.0,104.3,.216,.393,.524,56.4,50.6,7.4,12.8,.506,16.0,33.9,.144
200,Nevada-Las Vegas,30,16,14,.533,6.68,5.08,11,6,12,6,4,7,2154,2106,,67.0,101.8,.399,.432,.538,45.3,60.1,9.3,9.6,.496,15.6,23.9,.288
201,Nevada,29,19,10,.655,9.36,3.92,12,5,12,2,4,7,2244,2086,,71.7,99.9,.368,.441,.507,47.9,51.2,6.7,7.4,.465,13.2,24.5,.261
202,New Hampshire,27,14,13,.519,-7.49,-5.85,7,7,9,2,5,11,1861,1784,,70.1,93.0,.368,.385,.493,46.0,42.3,8.8,8.5,.454,15.7,20.9,.252
203,New Mexico State,29,23,6,.793,2.88,-4.27,14,0,12,1,8,3,2069,1756,,65.0,92.8,.307,.376,.527,43.4,47.1,9.5,6.8,.491,19.6,20.8,.226
204,New Mexico,30,17,13,.567,2.67,2.09,6,11,14,3,2,9,2316,2278,,73.2,103.7,.246,.434,.546,50.3,59.1,9.5,7.0,.525,17.3,30.1,.169
205,New Orleans,27,8,19,.296,-13.13,-4.13,4,13,5,8,3,11,2042,2067,,72.5,105.6,.377,.344,.584,51.9,57.0,8.9,10.1,.551,20.0,31.1,.274
206,Niagara,28,10,18,.357,-11.07,-3.97,8,9,8,3,2,15,1828,2027,,66.6,108.2,.266,.413,.555,59.2,61.4,6.8,9.6,.531,17.8,36.4,.189
207,Nicholls State,29,19,10,.655,-5.13,-5.53,13,5,11,1,7,8,2216,2020,,73.3,94.2,.394,.336,.528,51.8,54.7,8.8,7.1,.485,22.2,32.4,.284
208,NJIT,28,8,20,.286,-10.84,-4.58,5,10,5,7,3,13,1779,1920,,67.1,102.2,.328,.351,.540,52.1,51.7,8.0,9.1,.506,16.3,27.0,.236
209,Norfolk State,28,13,15,.464,-8.07,-8.15,9,4,10,2,2,12,1950,1818,,69.9,92.5,.419,.408,.510,48.6,60.7,8.1,8.9,.465,20.3,27.6,.293
210,North Alabama,28,12,16,.429,-8.70,-5.47,7,8,9,4,3,12,1912,1937,,70.4,98.3,.392,.330,.523,49.2,43.0,7.7,10.6,.486,17.3,26.7,.270
211,North Carolina-Asheville,28,14,14,.500,-9.99,-8.34,8,9,9,5,5,9,2123,2100,,71.6,104.3,.399,.306,.583,54.1,51.6,6.8,7.7,.561,20.9,29.7,.263
212,North Carolina A&T,29,15,14,.517,-9.33,-6.83,11,3,11,1,3,11,2069,2077,,75.5,94.0,.405,.391,.499,50.8,52.3,9.3,7.9,.468,18.9,30.5,.254
213,North Carolina Central,27,14,13,.519,-10.43,-7.93,10,3,10,0,4,13,1830,1740,,69.3,92.6,.318,.398,.509,50.6,52.5,8.7,8.2,.476,21.8,31.9,.220
214,North Carolina-Greensboro,30,23,7,.767,6.85,-1.51,13,4,14,4,9,3,2232,1868,,69.1,89.0,.362,.406,.518,47.7,50.2,8.3,6.8,.486,23.3,26.3,.242
215,North Carolina State,28,17,11,.607,11.48,6.59,8,9,12,4,5,6,2085,1948,,70.7,98.0,.359,.336,.513,50.8,43.9,9.2,8.6,.477,17.3,30.4,.247
216,North Carolina-Wilmington,30,10,20,.333,-8.62,-0.62,5,12,8,7,1,12,2066,2146,,69.7,101.9,.313,.384,.529,51.8,49.0,9.3,6.8,.501,16.1,28.4,.214
217,North Carolina,28,11,17,.393,8.81,9.67,4,13,6,8,2,8,1991,2015,,70.5,100.3,.276,.412,.523,44.8,52.9,9.8,9.1,.489,14.6,23.7,.204
218,North Dakota State,29,21,8,.724,0.84,-3.83,12,3,12,1,8,6,2145,1925,,67.8,97.5,.260,.318,.521,47.1,38.8,7.2,8.6,.491,14.2,17.7,.189
219,North Dakota,29,13,16,.448,-5.92,-1.31,7,8,8,3,4,12,2203,2174,,71.0,104.8,.276,.314,.542,48.1,43.7,9.3,8.3,.512,14.0,24.7,.202
220,North Florida,31,20,11,.645,-0.07,-2.89,13,3,12,1,7,9,2421,2255,,69.6,104.4,.273,.246,.524,50.7,52.4,8.4,9.9,.496,14.1,30.9,.192
221,North Texas,29,19,10,.655,8.12,1.79,13,3,12,3,7,5,2082,1834,,65.1,97.1,.386,.368,.524,47.8,47.4,10.5,9.9,.486,18.8,28.0,.268
222,Northeastern,29,15,14,.517,1.66,-3.51,9,8,7,5,7,7,2074,1924,,66.4,99.5,.307,.375,.547,48.8,43.3,8.0,6.9,.517,17.9,23.0,.220
223,Northern Arizona,27,16,11,.593,-3.60,-1.96,10,8,9,4,6,7,1943,1874,,67.8,101.9,.279,.365,.549,49.4,51.4,8.1,6.7,.521,17.2,25.1,.203
224,Northern Colorado,28,20,8,.714,5.88,-2.97,13,4,11,2,7,5,2093,1752,,66.0,94.0,.244,.236,.502,48.6,33.5,7.1,9.2,.474,15.6,22.6,.171
225,Northern Illinois,28,17,11,.607,-1.24,-2.28,10,5,10,3,7,8,1877,1801,,66.4,96.5,.306,.435,.501,46.7,51.4,7.7,8.6,.463,15.0,24.5,.221
226,Northern Iowa,29,24,5,.828,10.34,1.57,13,4,16,0,7,4,2204,1886,,66.0,97.3,.241,.378,.506,44.5,43.7,10.5,6.4,.482,14.0,22.4,.164
227,Northern Kentucky,29,21,8,.724,-0.24,-5.06,13,4,11,3,10,5,2104,1894,,68.6,94.4,.295,.347,.497,49.9,53.8,7.9,6.8,.467,18.1,30.4,.198
228,Northwestern State,26,12,14,.462,-11.79,-6.14,9,8,8,5,4,9,1899,1955,,74.4,100.6,.369,.354,.506,49.7,54.0,11.7,6.8,.462,15.4,32.0,.265
229,Northwestern,27,6,21,.222,4.88,10.21,1,16,4,11,1,9,1746,1890,,66.2,105.2,.288,.420,.529,53.3,64.6,7.9,9.0,.496,13.9,29.6,.210
230,Notre Dame,28,18,10,.643,10.91,5.12,9,8,14,3,4,6,2088,1926,,68.9,98.9,.187,.362,.499,50.6,51.2,8.2,9.6,.477,14.7,29.1,.131
231,Oakland,30,12,18,.400,-6.06,-2.68,7,10,7,5,3,11,2028,2098,,67.1,102.4,.251,.452,.520,49.7,58.8,9.9,8.0,.497,15.5,30.4,.170
232,Ohio State,28,19,9,.679,19.22,9.50,9,8,13,2,4,6,2017,1745,,66.8,93.3,.302,.391,.488,45.9,48.0,7.3,9.4,.456,16.1,25.5,.206
233,Ohio,28,14,14,.500,0.13,0.33,6,9,10,5,3,7,1991,1919,,69.1,99.2,.308,.394,.529,49.0,46.8,9.0,7.5,.487,16.9,25.2,.238
234,Oklahoma State,28,14,14,.500,11.01,10.76,4,11,8,6,4,7,1868,1861,,68.5,97.0,.340,.451,.509,49.6,59.7,8.8,9.3,.471,17.6,28.9,.241
