,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
235,Oklahoma,28,17,11,.607,13.22,10.51,7,8,12,2,2,8,1975,1899,,69.9,101.0,.302,.389,.525,49.1,47.6,8.7,10.9,.485,14.2,23.2,.231
236,Old Dominion,28,11,17,.393,0.05,0.47,7,8,8,4,3,10,1810,1822,,67.7,95.1,.280,.330,.479,53.3,42.8,10.4,10.2,.447,15.2,30.6,.193
237,Oral Roberts,28,15,13,.536,1.67,-1.41,8,7,12,1,3,12,2265,2072,,71.6,112.0,.299,.379,.547,52.4,45.2,8.8,7.0,.512,12.4,32.5,.225
238,Oregon State,28,15,13,.536,9.13,6.02,5,11,10,4,3,8,1994,1907,,66.8,106.6,.388,.342,.555,49.6,57.8,9.0,13.8,.513,15.4,27.1,.290
239,Oregon,29,22,7,.759,17.49,9.35,11,5,15,0,5,5,2182,1946,,66.3,110.2,.286,.374,.558,51.2,52.4,11.5,9.1,.535,15.0,32.5,.198
240,Pacific,31,22,9,.710,4.29,0.05,10,5,15,3,6,5,2175,1992,,65.9,103.5,.349,.286,.533,56.5,46.2,8.5,11.9,.506,15.9,33.3,.232
241,Penn State,28,21,7,.750,17.41,8.80,11,6,14,2,5,4,2119,1878,,71.7,105.6,.320,.388,.534,51.1,52.8,10.9,12.4,.505,14.1,29.1,.221
242,Pennsylvania,23,13,10,.565,0.36,0.32,5,5,6,3,5,6,1682,1633,,71.8,101.3,.256,.443,.542,48.4,54.7,7.9,7.4,.521,15.7,22.2,.174
243,Pepperdine,29,15,14,.517,2.59,3.01,8,7,9,4,6,7,2211,2223,,71.8,104.8,.335,.376,.547,48.6,56.5,8.8,9.8,.501,15.4,27.0,.266
244,Pittsburgh,29,15,14,.517,7.07,6.76,6,12,11,7,2,7,1883,1874,,65.6,98.6,.354,.325,.494,48.7,55.6,11.7,10.4,.449,15.4,32.4,.255
245,Portland State,29,15,14,.517,-1.97,-2.12,9,8,9,3,5,11,2273,2191,,72.6,108.0,.305,.293,.529,50.9,46.0,12.1,10.2,.496,14.8,36.9,.219
246,Portland,30,9,21,.300,-6.59,1.84,1,14,7,9,2,8,1996,2160,,70.5,93.6,.332,.352,.519,45.8,56.0,8.1,10.2,.489,17.9,20.8,.223
247,Prairie View,27,16,11,.593,-5.17,-6.81,12,2,9,0,6,10,1931,1837,,72.6,98.1,.398,.267,.524,49.4,55.1,11.7,7.6,.482,17.6,28.3,.283
248,Presbyterian,30,9,21,.300,-14.89,-6.39,6,11,6,6,3,13,2015,2200,,67.2,99.1,.346,.359,.541,50.1,50.3,8.7,5.9,.508,19.1,26.9,.244
249,Princeton,23,12,11,.522,-2.01,-1.10,7,3,6,5,4,5,1634,1608,,67.2,105.1,.292,.418,.561,50.7,50.4,9.6,5.2,.534,16.8,26.6,.210
250,Providence,28,16,12,.571,11.97,7.87,9,6,11,3,4,6,1983,1868,,69.6,101.3,.353,.368,.504,51.6,60.1,12.0,10.1,.468,16.1,34.0,.242
251,Purdue,29,15,14,.517,16.12,10.40,8,10,11,4,3,8,1969,1803,,64.5,103.0,.253,.357,.507,53.0,52.9,9.9,11.1,.482,14.6,34.6,.170
252,Quinnipiac,27,12,15,.444,-8.35,-6.27,7,10,8,5,3,9,1888,1944,,69.1,101.2,.293,.509,.546,51.2,57.2,6.4,9.3,.511,17.7,27.2,.221
253,Radford,29,20,9,.690,-1.84,-5.29,15,2,10,2,9,6,2100,1911,,65.0,110.9,.328,.393,.555,52.7,52.0,8.0,7.3,.538,14.0,31.3,.207
254,Rhode Island,27,20,7,.741,10.61,4.32,12,3,12,1,7,5,2017,1847,,72.5,102.1,.364,.289,.512,51.1,47.8,11.9,10.6,.475,14.3,30.8,.251
255,Rice,28,13,15,.464,-3.28,-0.13,5,10,7,6,4,8,2066,2090,,71.3,103.5,.334,.500,.550,49.9,55.6,8.3,6.1,.519,16.5,25.6,.236
256,Richmond,28,21,7,.750,10.21,2.60,11,4,12,2,8,3,2087,1874,,69.1,106.9,.273,.380,.564,48.4,56.1,11.8,7.7,.533,14.1,21.9,.210
257,Rider,27,15,12,.556,-3.97,-5.23,9,8,9,1,4,11,1937,1903,,71.8,99.9,.384,.337,.520,53.5,52.0,9.2,7.7,.490,16.9,31.0,.250
258,Robert Morris,30,16,14,.533,-5.93,-6.34,12,5,8,3,7,11,2073,2021,,67.6,102.3,.251,.394,.529,49.6,63.6,9.2,5.5,.509,16.3,29.4,.166
259,Rutgers,29,18,11,.621,15.32,9.35,9,9,17,1,1,8,2019,1807,,67.8,102.3,.292,.301,.514,54.1,47.9,9.8,13.6,.490,15.3,32.5,.190
260,Sacramento State,27,15,12,.556,-1.67,-2.59,8,10,10,3,4,9,1690,1582,,64.3,97.4,.313,.281,.496,52.9,55.2,10.8,11.3,.457,16.4,32.8,.226
261,Sacred Heart,30,18,12,.600,-4.65,-7.61,11,6,7,4,10,7,2211,2081,,70.4,104.7,.343,.390,.536,53.8,52.1,7.3,9.7,.497,16.9,34.9,.254
262,Saint Francis (PA),28,20,8,.714,-2.20,-6.65,13,4,11,2,8,6,2179,2010,,70.8,109.3,.339,.294,.556,52.7,42.1,10.0,7.2,.518,15.2,32.8,.253
263,Saint Joseph's,28,5,23,.179,-5.56,5.69,1,14,3,9,2,11,1915,2230,,71.5,95.2,.287,.491,.493,48.1,52.7,6.6,7.0,.460,16.4,27.0,.202
264,Saint Louis,28,20,8,.714,8.28,2.91,9,6,14,3,4,4,2010,1852,,68.7,103.1,.403,.274,.515,54.3,54.5,10.8,12.7,.496,15.3,33.9,.235
265,Saint Mary's (CA),30,24,6,.800,12.49,3.80,11,4,14,3,6,2,2277,1974,,65.0,114.0,.306,.363,.587,52.1,45.2,9.8,5.5,.557,13.1,25.8,.230
266,Saint Peter's,27,15,12,.556,-3.67,-5.93,12,6,10,3,5,9,1797,1736,,68.7,96.5,.381,.332,.511,53.8,47.3,10.8,13.7,.467,20.1,35.2,.272
267,Sam Houston State,29,18,11,.621,-4.47,-6.91,11,7,12,3,6,8,2300,2103,,74.7,104.0,.301,.357,.551,49.7,56.9,12.2,9.0,.516,16.3,28.8,.227
268,Samford,31,9,22,.290,-12.94,-0.51,3,14,6,8,3,14,2286,2537,,74.4,98.3,.337,.327,.531,48.2,44.7,9.1,9.2,.492,18.7,28.5,.248
269,San Diego State,28,27,1,.964,18.90,3.42,16,1,14,1,10,0,2102,1640,,66.4,113.0,.291,.412,.578,52.9,56.1,10.4,9.1,.547,14.4,29.3,.220
270,San Diego,30,9,21,.300,-2.99,4.70,2,13,6,8,3,10,1976,2173,,71.2,91.4,.296,.346,.496,49.1,51.3,8.0,8.4,.470,18.1,25.8,.193
271,San Francisco,30,19,11,.633,7.56,3.73,8,7,12,5,6,6,2246,2084,,69.8,106.0,.292,.443,.542,52.3,45.2,10.2,7.9,.511,15.5,29.4,.211
272,San Jose State,29,7,22,.241,-7.19,5.13,3,14,6,9,1,12,2032,2352,,74.1,94.2,.340,.464,.500,46.3,55.6,8.4,8.1,.458,16.6,24.7,.244
273,Santa Clara,30,18,12,.600,2.29,1.11,5,10,15,5,3,7,2276,2151,,73.0,103.5,.339,.369,.566,48.8,58.4,9.3,9.1,.531,16.9,22.1,.251
274,Seattle,28,14,14,.500,-4.07,-4.07,7,6,9,4,3,9,2090,2022,,71.6,102.4,.368,.376,.514,49.1,44.1,8.1,8.4,.462,12.6,27.5,.284
275,Seton Hall,27,20,7,.741,17.25,9.32,12,3,11,3,7,3,2016,1802,,71.7,104.2,.366,.403,.546,50.4,55.4,10.1,15.6,.509,16.7,29.3,.264
276,Siena,26,16,10,.615,-1.81,-5.05,12,5,13,0,3,10,1889,1805,,67.8,105.5,.376,.323,.545,53.0,49.8,8.0,8.0,.511,16.3,31.7,.263
277,South Alabama,29,18,11,.621,-0.54,-1.00,11,7,9,5,7,5,2073,1975,,67.4,105.5,.400,.300,.556,49.4,44.3,11.3,12.0,.516,15.8,26.8,.291
278,South Carolina State,26,11,15,.423,-15.32,-8.53,6,8,8,3,3,12,1827,1951,,69.3,99.9,.392,.298,.534,51.1,45.5,6.0,4.9,.485,17.8,29.5,.297
279,South Carolina Upstate,30,11,19,.367,-13.42,-5.64,6,11,8,6,3,13,2057,2216,,69.6,98.5,.332,.361,.512,48.0,50.4,8.5,7.7,.479,15.7,26.5,.228
280,South Carolina,28,17,11,.607,10.34,6.05,9,6,11,5,6,4,2032,1912,,72.3,100.0,.370,.309,.511,51.7,54.1,10.7,13.5,.486,15.8,32.1,.229
281,South Dakota State,31,22,9,.710,2.74,-4.12,13,3,16,0,6,9,2419,2179,,69.7,110.6,.324,.359,.580,53.2,50.3,7.2,8.6,.555,16.2,29.3,.229
282,South Dakota,30,19,11,.633,-1.54,-3.54,9,6,12,2,5,8,2399,2233,,71.5,111.8,.390,.332,.595,50.8,50.2,6.3,7.0,.558,13.6,20.7,.294
283,South Florida,28,12,16,.429,4.99,4.84,5,10,9,6,2,6,1751,1747,,65.4,94.7,.378,.389,.501,52.3,46.0,11.4,6.8,.469,19.4,32.4,.245
284,Southeast Missouri State,30,7,23,.233,-14.28,-5.00,3,14,6,7,0,15,1976,2220,,68.8,95.4,.357,.343,.508,47.9,48.3,7.6,6.0,.471,17.2,25.4,.247
285,Southeastern Louisiana,28,6,22,.214,-16.57,-5.05,3,14,4,8,2,13,1924,2193,,73.7,92.0,.314,.358,.496,46.0,49.9,10.7,4.8,.465,19.2,28.3,.210
286,Southern California,29,20,9,.690,11.31,7.14,9,7,12,2,5,6,2054,1933,,70.2,99.6,.355,.318,.523,52.1,55.2,9.5,13.5,.493,17.5,30.9,.237
287,SIU Edwardsville,30,8,22,.267,-13.87,-5.77,5,12,4,9,4,13,2021,2191,,70.3,95.8,.293,.312,.507,48.9,55.9,8.2,9.0,.477,17.3,27.7,.199
288,Southern Illinois,30,16,14,.533,0.42,-0.03,10,7,12,3,3,9,1884,1843,,64.0,97.8,.327,.413,.536,46.4,53.9,10.0,5.4,.501,17.2,20.7,.237
289,Southern Methodist,27,19,8,.704,8.25,3.00,9,6,15,1,4,7,2008,1866,,66.5,109.4,.315,.426,.562,53.6,60.8,8.8,9.6,.524,16.9,34.6,.243
290,Southern Mississippi,28,9,19,.321,-5.31,3.29,5,10,8,6,1,10,1872,2030,,68.8,96.7,.248,.299,.522,51.1,56.7,8.5,8.2,.493,18.7,28.6,.182
291,Southern Utah,28,14,14,.500,0.01,-1.61,7,10,8,5,5,9,2017,1845,,70.6,100.6,.338,.311,.535,53.6,45.6,9.7,11.6,.500,16.8,28.1,.242
292,Southern,28,13,15,.464,-10.83,-8.99,10,5,8,1,4,14,1918,1883,,69.3,98.4,.311,.299,.511,52.5,52.6,9.7,6.8,.482,17.2,32.2,.209
293,St. Bonaventure,28,18,10,.643,3.94,1.72,10,5,8,5,7,5,1940,1855,,66.1,104.0,.271,.341,.526,52.6,54.3,8.4,11.6,.495,15.0,31.4,.198
294,St. Francis (NY),29,12,17,.414,-11.43,-7.11,6,11,9,5,3,12,2025,2082,,70.9,98.0,.263,.356,.503,49.0,47.5,8.9,12.0,.471,15.2,27.8,.189
295,St. John's (NY),28,14,14,.500,9.89,6.89,3,12,11,6,1,7,2078,1994,,74.7,99.3,.296,.308,.489,48.7,53.9,13.5,12.3,.452,13.2,30.3,.211
296,Stanford,28,19,9,.679,14.38,5.70,8,7,13,4,4,4,1968,1725,,68.9,101.1,.317,.366,.567,49.1,51.2,10.1,11.2,.542,19.0,22.2,.221
297,Stephen F. Austin,28,25,3,.893,3.73,-7.11,16,1,14,1,11,2,2259,1872,,74.8,107.4,.427,.273,.576,55.6,52.9,14.2,10.3,.543,20.5,38.3,.299
298,Stetson,30,15,15,.500,-10.39,-5.43,9,6,7,6,7,8,1907,1976,,64.7,97.9,.391,.320,.527,51.9,43.2,10.0,8.5,.497,18.7,30.4,.254
299,Stony Brook,29,18,11,.621,-1.50,-4.07,9,5,9,4,7,7,2030,1911,,70.6,98.4,.329,.429,.514,51.9,46.9,9.5,13.5,.475,17.8,30.2,.238
300,Syracuse,28,16,12,.571,12.28,7.35,9,8,11,6,5,4,2069,1931,,68.5,107.4,.356,.428,.547,49.3,56.6,10.7,14.7,.508,14.7,29.0,.263
301,Temple,28,14,14,.500,6.94,5.87,6,9,8,5,4,7,1945,1915,,71.4,96.0,.342,.346,.500,49.6,56.2,11.2,8.3,.465,15.8,25.5,.233
302,Tennessee-Martin,28,8,20,.286,-14.43,-3.86,4,13,5,6,2,12,2107,2304,,70.1,107.0,.313,.375,.552,48.0,44.9,7.3,7.8,.515,16.0,31.1,.236
303,Tennessee State,30,17,13,.567,-6.52,-5.49,9,8,11,2,4,11,2168,2148,,70.9,101.5,.323,.375,.560,53.7,53.2,7.3,11.3,.540,21.0,32.1,.210
304,Tennessee Tech,30,9,21,.300,-13.72,-4.58,6,11,6,8,3,11,1962,2166,,69.0,94.0,.215,.426,.504,49.5,56.6,9.8,8.5,.482,19.0,28.8,.145
305,Tennessee,28,15,13,.536,11.07,7.57,7,8,10,5,3,7,1872,1774,,66.8,100.0,.372,.362,.530,51.3,63.5,9.2,15.9,.484,18.0,30.7,.279
306,Texas A&M-Corpus Christi,28,11,17,.393,-10.97,-5.74,7,10,7,6,4,11,1814,1912,,68.1,95.1,.329,.393,.543,51.6,54.4,8.2,8.8,.513,22.9,29.7,.228
307,Texas A&M,27,14,13,.519,3.93,6.08,8,7,10,6,4,3,1689,1747,,65.7,94.8,.414,.411,.501,49.4,52.2,9.9,10.9,.456,18.4,31.1,.286
308,Texas-Arlington,29,13,16,.448,2.86,2.56,9,9,8,6,5,9,2034,1975,,69.3,101.1,.288,.416,.517,49.3,59.1,8.7,7.6,.478,14.5,27.2,.218
309,Texas Christian,28,15,13,.536,9.27,9.09,6,9,13,4,1,8,1827,1801,,65.6,98.1,.261,.435,.512,51.6,61.5,10.4,14.1,.493,18.3,32.9,.166
310,Texas-El Paso,28,14,14,.500,-1.27,0.17,5,10,12,4,1,9,1867,1846,,69.1,96.1,.346,.399,.525,49.5,53.6,8.7,8.5,.480,18.0,23.6,.261
311,Texas-Rio Grande Valley,28,12,16,.429,-7.66,-3.58,7,7,10,3,2,11,2022,1987,,70.7,101.2,.341,.311,.525,49.0,58.0,11.5,11.1,.489,15.9,29.2,.242
312,Texas-San Antonio,28,12,16,.429,-2.47,0.57,6,9,9,4,3,8,2190,2166,,74.0,103.8,.271,.429,.534,50.6,45.7,7.8,7.4,.499,15.0,28.0,.206
313,Texas Southern,27,13,14,.481,-10.19,-4.46,10,4,8,1,5,13,1948,2059,,74.4,95.7,.403,.292,.500,50.4,46.1,8.2,7.1,.455,17.8,31.7,.282
314,Texas State,29,19,10,.655,5.47,-0.31,12,6,14,3,5,7,2113,1847,,67.5,107.9,.363,.281,.548,50.1,53.3,9.7,9.1,.504,14.4,29.6,.277
315,Texas Tech,28,18,10,.643,17.32,7.39,9,6,13,2,3,6,2042,1764,,68.8,104.6,.357,.360,.560,50.4,61.3,11.6,11.6,.520,17.4,28.1,.269
316,Texas,28,17,11,.607,10.60,9.24,7,8,11,5,4,5,1810,1772,,66.3,97.5,.220,.423,.523,47.3,50.0,8.4,11.4,.503,18.1,27.4,.149
317,Toledo,28,14,14,.500,1.23,-1.48,6,9,7,6,7,8,2112,1980,,69.6,107.8,.368,.426,.560,51.5,57.2,8.3,9.0,.521,15.8,29.1,.273
318,Towson,30,18,12,.600,0.44,-1.52,11,6,9,5,7,4,2121,1981,,65.9,106.3,.328,.334,.532,54.1,46.2,8.7,9.8,.488,15.2,33.7,.253
319,Troy,29,9,20,.310,-8.79,-1.60,5,13,6,8,3,12,2004,2120,,71.1,96.4,.291,.434,.497,49.2,57.4,8.0,7.9,.467,17.0,30.4,.198
320,Tulane,28,12,16,.429,0.43,2.82,4,12,7,5,3,7,1907,1974,,69.2,98.0,.342,.406,.521,44.7,49.0,12.2,8.0,.485,15.3,21.8,.241
321,Tulsa,28,19,9,.679,7.91,3.09,11,4,14,2,5,6,1920,1785,,67.1,100.4,.398,.337,.538,50.3,53.5,11.1,7.7,.499,17.4,26.7,.281
322,UCLA,29,18,11,.621,9.33,7.72,11,5,12,4,5,4,2032,1961,,66.7,104.1,.365,.331,.531,54.6,53.3,10.2,10.1,.494,16.9,35.0,.259
323,Utah State,30,23,7,.767,14.37,3.84,12,5,15,1,4,5,2313,1905,,69.2,110.0,.357,.375,.561,56.6,62.1,8.9,9.2,.518,15.1,32.0,.276
324,Utah Valley,29,11,18,.379,-7.19,-4.15,5,9,6,6,5,12,2054,2070,,71.6,98.1,.343,.377,.534,49.6,54.8,7.9,12.4,.498,17.5,24.2,.245
325,Utah,28,15,13,.536,8.66,7.73,6,10,11,2,1,9,1977,1951,,68.1,102.8,.364,.386,.548,51.9,57.6,8.2,7.6,.510,17.4,28.6,.265
326,Valparaiso,30,16,14,.533,1.94,1.08,9,8,11,2,4,9,2185,2133,,70.1,102.6,.273,.409,.540,49.0,57.6,11.3,9.1,.513,16.3,26.6,.194
327,Vanderbilt,28,9,19,.321,2.99,5.92,1,14,9,10,0,8,1992,2074,,69.7,101.1,.409,.447,.538,46.9,47.7,10.1,9.0,.503,16.3,24.6,.281
328,Vermont,29,22,7,.759,6.21,-4.18,12,2,10,3,11,3,2040,1700,,66.4,105.9,.295,.434,.541,53.1,54.7,8.8,10.7,.512,15.1,28.6,.210
329,Villanova,28,22,6,.786,17.29,9.72,11,4,12,2,7,3,2066,1854,,67.7,108.5,.262,.466,.558,51.4,56.9,8.4,6.9,.526,14.0,26.1,.204
330,Virginia Commonwealth,28,17,11,.607,9.85,4.07,7,8,13,3,4,6,1976,1814,,69.9,101.0,.332,.374,.523,48.2,52.8,13.2,12.4,.488,15.6,27.7,.234
331,VMI,30,8,22,.267,-6.79,-2.16,3,14,5,10,2,11,2149,2114,,67.7,104.0,.234,.506,.538,49.8,62.2,9.7,7.3,.516,15.7,28.1,.165
332,Virginia Tech,28,15,13,.536,8.76,5.19,6,11,11,6,3,5,1960,1860,,66.2,102.9,.238,.465,.531,48.5,59.2,8.6,9.2,.506,12.7,22.0,.169
333,Virginia,27,20,7,.741,11.60,6.67,12,5,12,3,6,4,1556,1423,,60.2,94.4,.268,.380,.504,52.9,55.5,8.7,15.8,.472,17.7,26.9,.191
334,Wagner,28,8,20,.286,-14.27,-5.49,5,12,5,7,3,13,1923,2130,,69.1,98.1,.298,.377,.510,49.9,52.9,8.5,7.5,.475,17.0,30.3,.216
335,Wake Forest,27,12,15,.444,7.48,8.11,5,12,8,5,1,9,1973,1990,,70.8,101.3,.427,.330,.534,51.7,50.6,7.0,7.6,.483,17.3,28.5,.318
336,Washington State,28,14,14,.500,4.39,3.75,5,10,11,5,1,7,1939,1921,,70.3,97.6,.292,.397,.494,49.2,48.0,9.5,6.6,.457,14.1,27.4,.213
337,Washington,28,13,15,.464,12.17,7.49,3,12,10,6,1,7,1956,1825,,69.7,99.4,.370,.387,.542,49.6,52.1,9.9,16.8,.505,18.8,27.2,.264
338,Weber State,27,11,16,.407,-8.00,0.29,7,9,8,4,3,8,1877,1909,,68.7,100.2,.294,.377,.545,47.9,44.2,7.6,9.5,.516,15.9,21.5,.210
339,West Virginia,28,19,9,.679,18.69,10.22,7,8,13,1,3,8,1964,1727,,69.6,100.4,.404,.298,.499,55.5,49.8,11.1,10.7,.467,17.4,39.8,.257
340,Western Carolina,28,18,10,.643,-0.14,-2.10,10,7,10,4,8,6,2232,2096,,72.8,108.6,.346,.454,.579,53.6,53.6,7.2,4.8,.550,17.1,29.7,.248
341,Western Illinois,25,5,20,.200,-14.32,-2.84,2,13,4,10,1,10,1871,2057,,73.1,101.4,.224,.363,.527,47.0,37.6,6.8,5.6,.496,13.5,21.9,.174
342,Western Kentucky,28,19,9,.679,4.39,0.91,12,4,12,2,5,5,2134,1997,,69.9,107.1,.398,.369,.567,48.3,43.2,9.2,10.7,.517,15.5,25.0,.315
343,Western Michigan,28,11,17,.393,-5.95,-0.03,4,11,8,5,3,10,1937,2022,,68.9,99.1,.364,.382,.528,48.2,45.6,7.2,5.5,.488,16.4,24.2,.261
344,Wichita State,28,21,7,.750,13.47,5.18,9,6,16,2,4,4,2022,1790,,71.1,100.7,.347,.384,.507,52.9,57.7,10.1,10.3,.470,15.2,31.7,.241
345,William & Mary,30,20,10,.667,-2.07,-2.69,12,5,10,2,10,7,2139,2061,,68.1,104.7,.292,.389,.562,53.0,52.6,6.5,10.4,.532,16.7,26.2,.216
346,Winthrop,30,20,10,.667,0.77,-5.73,14,3,10,4,10,6,2421,2151,,72.4,110.0,.354,.434,.552,54.9,55.7,9.2,7.1,.532,16.0,35.4,.225
347,Wisconsin,28,18,10,.643,15.57,10.78,11,6,13,1,5,6,1888,1754,,64.5,104.1,.269,.448,.541,49.7,51.7,6.9,9.6,.506,14.1,24.4,.207
348,Wofford,30,16,14,.533,0.24,-1.65,8,9,10,5,6,9,2176,2054,,67.2,106.6,.263,.484,.567,49.5,51.0,8.6,8.3,.544,15.7,25.1,.189
349,Wright State,30,24,6,.800,3.06,-6.77,14,3,14,2,8,3,2460,2129,,73.3,110.4,.361,.338,.554,52.1,48.7,8.8,8.5,.526,14.4,32.3,.247
350,Wyoming,29,7,22,.241,-4.31,4.47,2,15,4,13,3,7,1779,2011,,67.1,90.2,.305,.460,.516,43.5,50.9,7.8,6.3,.480,18.1,14.4,.221
351,Xavier,28,18,10,.643,12.94,9.11,7,8,12,4,4,5,1983,1876,,69.3,100.0,.308,.347,.514,52.5,56.3,8.3,9.9,.488,16.6,31.7,.202
352,Yale,26,20,6,.769,7.57,-1.81,8,2,8,1,10,5,2006,1674,,68.3,108.8,.332,.421,.577,55.0,59.6,8.5,9.5,.551,16.4,27.5,.235
353,Youngstown State,30,16,14,.533,-5.77,-4.77,9,8,12,4,4,10,2204,2158,,68.9,105.3,.299,.373,.512,53.0,47.1,8.5,6.5,.482,14.4,36.1,.206
